板块,公司全称,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
主板,平安银行股份有限公司,000001,平安银行,4/3/1991,"19,405,918,198","19,405,752,081",,,,0,0,华南,广东,深圳市,J 金融业,www.bank.pingan.com
主板,万科企业股份有限公司,000002,万  科Ａ,1/29/1991,"9,724,196,533","9,714,314,935",,,,0,0,华南,广东,深圳市,K 房地产,www.vanke.com
主板,深圳国华网安科技股份有限公司,000004,国华网安,12/1/1990,"165,052,625","83,920,684",,,,0,0,华南,广东,深圳市,I 信息技术,www.sz000004.cn
主板,深圳世纪星源股份有限公司,000005,世纪星源,12/10/1990,"1,058,536,842","1,057,946,242",,,,0,0,华南,广东,深圳市,N 公共环保,www.fountain.com.cn
主板,深圳市振业(集团)股份有限公司,000006,深振业Ａ,4/27/1992,"1,349,995,046","1,349,995,046",,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com
主板,深圳市全新好股份有限公司,000007,全新好,4/13/1992,"346,448,044","308,948,044",,,,0,0,华南,广东,深圳市,K 房地产,
主板,神州高铁技术股份有限公司,000008,神州高铁,5/7/1992,"2,780,795,346","2,665,216,688",,,,0,0,华北,北京,北京市,C 制造业,www.shenzhou-gaotie.com
主板,中国宝安集团股份有限公司,000009,中国宝安,6/25/1991,"2,579,213,965","2,551,430,324",,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com
主板,深圳美丽生态股份有限公司,000010,美丽生态,10/27/1995,"819,854,713","522,171,498",,,,0,0,华南,广东,深圳市,E 建筑业,www.eco-beauty.cn
主板,深圳市物业发展(集团)股份有限公司,000011,深物业A,3/30/1992,"528,373,849","526,475,543",200011,深物业B,3/30/1992,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn
