"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年1月8日","41,293.8","39,466.4","41,421.0","36,613.4","4.02K","4.65%"
"2021年1月7日","39,460.2","36,798.5","40,340.9","36,361.2","249.60K","7.25%"
"2021年1月6日","36,793.2","33,999.3","36,934.8","33,408.3","227.56K","8.24%"
"2021年1月5日","33,991.5","32,015.4","34,414.7","30,010.5","202.13K","6.15%"
"2021年1月4日","32,022.6","33,016.6","33,587.5","28,204.5","255.27K","-2.84%"
"2021年1月3日","32,958.9","32,192.9","34,755.9","32,029.6","155.21K","2.38%"
"2021年1月2日","32,193.3","29,359.7","33,233.5","29,008.0","240.87K","9.65%"
"2021年1月1日","29,359.9","28,951.7","29,627.1","28,712.4","100.90K","1.42%"
"2020年12月31日","28,949.4","28,866.8","29,298.8","28,025.0","136.69K","0.28%"
"2020年12月30日","28,868.7","27,374.5","28,979.3","27,374.5","159.82K","5.45%"
"2020年12月29日","27,376.0","27,065.3","27,390.7","25,902.8","119.57K","1.18%"
"2020年12月28日","27,057.8","26,259.2","27,444.9","26,144.3","126.98K","3.03%"
"2020年12月27日","26,261.3","26,460.3","28,360.3","25,858.2","231.23K","-0.73%"
"2020年12月26日","26,454.4","24,714.7","26,826.0","24,515.1","155.77K","7.15%"
"2020年12月25日","24,689.6","23,728.7","24,778.9","23,445.3","2.40K","4.02%"
"2020年12月24日","23,736.5","23,253.2","23,783.7","22,737.3","104.59K","2.06%"
"2020年12月23日","23,257.9","23,820.8","24,063.7","22,694.7","178.47K","-2.37%"
"2020年12月22日","23,823.2","22,730.4","23,825.4","22,388.6","130.75K","4.82%"
"2020年12月21日","22,728.5","23,474.1","24,101.9","22,015.5","154.69K","-3.18%"
"2020年12月20日","23,474.9","23,843.6","24,280.9","23,098.9","114.09K","-1.55%"
"2020年12月19日","23,844.0","23,127.6","24,107.1","22,797.0","133.88K","3.10%"
"2020年12月18日","23,127.9","22,823.3","23,272.8","22,361.5","131.80K","1.33%"
"2020年12月17日","22,825.4","21,352.3","23,738.0","21,243.1","310.74K","6.90%"
"2020年12月16日","21,352.2","19,434.7","21,525.3","19,299.7","199.81K","9.87%"
"2020年12月15日","19,434.9","19,273.9","19,556.3","19,076.2","98.39K","0.84%"
"2020年12月14日","19,273.8","19,176.4","19,346.5","19,007.0","67.11K","0.51%"
"2020年12月13日","19,176.8","18,808.1","19,403.6","18,716.8","82.45K","1.96%"
"2020年12月12日","18,808.9","18,026.7","18,936.2","18,025.1","71.37K","4.36%"
"2020年12月11日","18,023.6","18,250.5","18,288.3","17,600.1","111.53K","-1.23%"
"2020年12月10日","18,247.2","18,546.1","18,551.8","17,926.8","85.31K","-1.61%"
"2020年12月9日","18,546.0","18,322.4","18,637.9","17,658.8","129.72K","1.20%"
"2020年12月8日","18,326.6","19,170.8","19,288.6","18,229.2","101.41K","-4.40%"
"2020年12月7日","19,170.7","19,368.4","19,424.6","18,908.8","61.98K","-1.08%"
"2020年12月6日","19,379.9","19,146.0","19,417.1","18,873.0","54.56K","1.22%"
"2020年12月5日","19,146.5","18,657.5","19,172.7","18,507.1","59.44K","2.62%"
"2020年12月4日","18,658.1","19,431.1","19,529.5","18,610.8","110.63K","-3.99%"
"2020年12月3日","19,433.3","19,219.8","19,596.6","18,883.7","99.97K","1.12%"
"2020年12月2日","19,218.8","18,767.9","19,335.5","18,346.7","91.92K","2.39%"
"2020年12月1日","18,770.7","19,697.8","19,897.4","18,257.0","208.72K","-4.71%"
"2020年11月30日","19,698.1","18,186.0","19,831.2","18,186.0","185.59K","8.32%"
"2020年11月29日","18,185.5","17,729.7","18,336.3","17,530.4","79.12K","2.57%"
"2020年11月28日","17,730.7","17,142.6","17,874.4","16,874.4","95.20K","3.52%"
"2020年11月27日","17,127.1","17,160.9","17,450.3","16,481.6","138.80K","-0.20%"
"2020年11月26日","17,162.0","18,721.9","18,894.9","16,235.2","312.07K","-8.34%"
"2020年11月25日","18,723.0","19,151.5","19,486.7","18,527.7","146.12K","-2.24%"
"2020年11月24日","19,152.6","18,394.6","19,416.6","18,074.8","180.79K","4.21%"
"2020年11月23日","18,379.6","18,428.1","18,756.8","18,016.0","127.35K","-0.18%"
"2020年11月22日","18,412.9","18,689.3","18,751.5","17,644.6","121.76K","-1.47%"
"2020年11月21日","18,687.2","18,673.8","18,966.0","18,397.5","108.91K","0.06%"
"2020年11月20日","18,675.2","17,805.5","18,811.0","17,758.4","134.42K","4.90%"
"2020年11月19日","17,803.5","17,775.1","18,166.0","17,380.1","135.94K","0.16%"
"2020年11月18日","17,774.6","17,662.3","18,466.1","17,258.9","233.43K","0.64%"
"2020年11月17日","17,662.3","16,715.8","17,845.4","16,562.0","175.87K","5.66%"
"2020年11月16日","16,715.8","15,954.1","16,880.7","15,870.7","118.09K","4.78%"
"2020年11月15日","15,953.0","16,074.7","16,158.1","15,782.3","58.43K","-0.73%"
"2020年11月14日","16,071.0","16,323.1","16,328.2","15,717.7","83.64K","-1.55%"
"2020年11月13日","16,324.2","16,293.0","16,474.1","15,973.4","113.75K","0.18%"
"2020年11月12日","16,294.7","15,695.8","16,342.7","15,483.5","165.54K","3.82%"
"2020年11月11日","15,695.8","15,303.1","15,953.9","15,281.0","119.07K","2.56%"
"2020年11月10日","15,303.6","15,328.0","15,465.3","15,096.5","93.36K","-0.15%"
"2020年11月9日","15,327.2","15,483.3","15,819.6","14,816.9","165.04K","-1.01%"
"2020年11月8日","15,483.7","14,826.6","15,648.3","14,720.7","94.99K","4.42%"
"2020年11月7日","14,828.4","15,578.2","15,754.4","14,385.1","160.73K","-4.81%"
"2020年11月6日","15,577.9","15,593.9","15,955.2","15,223.5","186.13K","-0.06%"
"2020年11月5日","15,587.1","14,145.6","15,739.9","14,099.7","227.49K","10.19%"
"2020年11月4日","14,145.6","14,023.0","14,238.8","13,544.4","140.80K","0.90%"
"2020年11月3日","14,019.9","13,560.5","14,054.0","13,294.6","108.17K","3.38%"
"2020年11月2日","13,561.4","13,759.7","13,828.4","13,214.2","97.76K","-1.44%"
"2020年11月1日","13,759.4","13,795.5","13,889.5","13,628.7","51.71K","-0.27%"
"2020年10月31日","13,797.3","13,560.2","14,065.4","13,441.7","102.75K","1.75%"
"2020年10月30日","13,559.9","13,457.0","13,667.9","13,134.5","108.77K","0.76%"
"2020年10月29日","13,457.2","13,278.3","13,640.0","12,982.9","111.23K","1.34%"
"2020年10月28日","13,278.9","13,658.3","13,851.7","12,907.6","144.18K","-2.77%"
"2020年10月27日","13,657.8","13,061.5","13,782.3","13,050.3","128.64K","4.56%"
"2020年10月26日","13,061.6","13,033.0","13,229.7","12,792.4","89.47K","0.23%"
"2020年10月25日","13,032.2","13,117.0","13,345.3","12,900.4","59.73K","-0.65%"
"2020年10月24日","13,117.2","12,933.6","13,161.5","12,876.4","51.20K","1.42%"
"2020年10月23日","12,934.1","12,972.7","13,025.5","12,738.9","73.94K","-0.31%"
"2020年10月22日","12,974.6","12,805.5","13,183.9","12,698.2","113.31K","1.30%"
"2020年10月21日","12,808.7","11,913.6","13,213.5","11,894.6","197.72K","7.51%"
"2020年10月20日","11,913.5","11,753.9","12,029.4","11,685.7","94.59K","1.36%"
"2020年10月19日","11,753.4","11,507.1","11,823.3","11,413.9","73.04K","2.14%"
"2020年10月18日","11,506.9","11,362.1","11,506.9","11,349.8","31.51K","1.27%"
"2020年10月17日","11,362.1","11,321.8","11,402.7","11,274.4","29.86K","0.35%"
