"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年1月8日","1,907.70","1,917.10","1,917.30","1,906.65","-","-0.31%"
"2021年1月7日","1,913.60","1,921.50","1,929.60","1,907.50","-","0.26%"
"2021年1月6日","1,908.60","1,952.80","1,962.50","1,902.60","366.61K","-2.34%"
"2021年1月5日","1,954.40","1,946.00","1,957.00","1,938.40","201.95K","0.40%"
"2021年1月4日","1,946.60","1,908.20","1,948.70","1,906.10","273.37K","2.37%"
"2021年1月1日","1,901.60","1,901.60","1,901.60","1,901.60","-","0.34%"
"2020年12月31日","1,895.10","1,899.00","1,904.90","1,889.10","130.63K","0.09%"
"2020年12月30日","1,893.40","1,881.80","1,899.00","1,879.50","133.66K","0.56%"
"2020年12月29日","1,882.90","1,878.00","1,891.30","1,875.60","149.27K","0.13%"
"2020年12月28日","1,880.40","1,887.00","1,904.10","1,873.00","196.76K","-0.15%"
"2020年12月24日","1,883.20","1,877.30","1,887.40","1,873.10","89.41K","0.27%"
"2020年12月23日","1,878.10","1,865.60","1,883.70","1,860.90","162.54K","0.42%"
"2020年12月22日","1,870.30","1,883.00","1,889.40","1,863.70","176.02K","-0.66%"
"2020年12月21日","1,882.80","1,892.90","1,912.00","1,859.00","232.05K","-0.32%"
"2020年12月18日","1,888.90","1,891.30","1,895.70","1,881.90","153.23K","-0.08%"
"2020年12月17日","1,890.40","1,868.40","1,902.00","1,865.90","219.87K","1.68%"
"2020年12月16日","1,859.10","1,857.70","1,870.00","1,848.20","199.68K","0.20%"
"2020年12月15日","1,855.30","1,830.50","1,859.30","1,828.50","173.61K","1.27%"
"2020年12月14日","1,832.10","1,845.00","1,845.60","1,820.00","168.49K","-0.62%"
"2020年12月11日","1,843.60","1,840.00","1,851.80","1,826.80","153.80K","0.34%"
"2020年12月10日","1,837.40","1,843.00","1,854.20","1,831.50","164.80K","-0.06%"
"2020年12月9日","1,838.50","1,875.40","1,875.90","1,828.20","219.59K","-1.94%"
"2020年12月8日","1,874.90","1,866.10","1,879.80","1,863.90","151.79K","0.48%"
"2020年12月7日","1,866.00","1,841.10","1,873.00","1,824.80","209.04K","1.41%"
"2020年12月4日","1,840.00","1,844.70","1,852.70","1,832.00","171.26K","-0.06%"
"2020年12月3日","1,841.10","1,833.90","1,847.40","1,826.70","180.36K","0.60%"
"2020年12月2日","1,830.20","1,819.10","1,835.70","1,810.50","185.32K","0.62%"
"2020年12月1日","1,818.90","1,780.30","1,821.10","1,778.40","203.65K","2.13%"
"2020年11月30日","1,780.90","1,790.80","1,793.30","1,767.20","242.73K","-0.40%"
"2020年11月27日","1,788.10","1,812.10","1,822.60","1,776.50","282.35K","-1.05%"
"2020年11月26日","1,807.00","1,806.25","1,816.80","1,804.20","-","-0.23%"
"2020年11月25日","1,811.20","1,812.00","1,821.70","1,804.70","133.60K","0.02%"
"2020年11月24日","1,810.90","1,842.60","1,843.00","1,803.70","126.76K","-1.46%"
"2020年11月23日","1,837.80","1,869.80","1,875.00","1,828.00","319.66K","-1.85%"
"2020年11月20日","1,872.40","1,864.80","1,879.20","1,859.10","186.17K","0.59%"
