"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年1月8日","51.13","50.94","51.20","50.83","-","0.59%"
"2021年1月7日","50.83","50.53","51.28","50.39","-","0.40%"
"2021年1月6日","50.63","49.82","50.94","49.48","509.37K","1.40%"
"2021年1月5日","49.93","47.38","50.20","47.24","643.19K","4.85%"
"2021年1月4日","47.62","48.40","49.83","47.18","528.53K","-1.85%"
"2020年12月31日","48.52","48.35","48.58","47.77","181.89K","0.25%"
"2020年12月30日","48.40","48.13","48.66","47.61","266.96K","0.83%"
"2020年12月29日","48.00","47.72","48.35","47.68","213.78K","0.80%"
"2020年12月28日","47.62","48.23","48.96","47.50","238.46K","-1.26%"
"2020年12月24日","48.23","48.09","48.62","47.56","167.39K","0.23%"
"2020年12月23日","48.12","46.79","48.50","46.16","344.31K","2.34%"
"2020年12月22日","47.02","47.93","47.96","46.60","295.74K","-1.51%"
"2020年12月21日","47.74","48.54","48.61","46.18","27.96K","-2.77%"
"2020年12月18日","49.10","48.43","49.28","48.10","83.71K","1.53%"
"2020年12月17日","48.36","47.85","48.59","47.81","96.54K","1.13%"
"2020年12月16日","47.82","47.60","47.94","47.17","275.33K","0.42%"
"2020年12月15日","47.62","46.99","47.73","46.54","311.17K","1.34%"
"2020年12月14日","46.99","46.73","47.44","45.69","403.54K","0.90%"
"2020年12月11日","46.57","46.97","47.29","46.34","367.31K","-0.45%"
"2020年12月10日","46.78","45.69","47.74","45.52","447.53K","2.77%"
"2020年12月9日","45.52","45.60","46.24","44.95","434.98K","-0.18%"
"2020年12月8日","45.60","45.66","45.93","45.14","332.64K","-0.35%"
"2020年12月7日","45.76","46.15","46.54","45.36","348.87K","-1.08%"
"2020年12月4日","46.26","45.64","46.68","45.61","335.45K","1.36%"
"2020年12月3日","45.64","44.99","45.84","44.66","350.77K","0.80%"
"2020年12月2日","45.28","44.38","45.92","43.92","368.85K","1.64%"
"2020年12月1日","44.55","45.08","45.70","44.12","314.92K","-1.74%"
"2020年11月30日","45.34","45.34","45.80","44.42","370.76K","-0.42%"
"2020年11月27日","45.53","45.90","46.09","44.55","365.13K","1.22%"
"2020年11月26日","44.98","45.77","46.09","44.73","-","-1.60%"
"2020年11月25日","45.71","44.82","46.26","44.73","417.18K","1.78%"
"2020年11月24日","44.91","42.84","45.20","42.82","418.53K","4.30%"
"2020年11月23日","43.06","42.46","43.36","42.29","300.72K","2.16%"
"2020年11月20日","42.15","41.70","42.32","41.51","29.78K","0.98%"
"2020年11月19日","41.74","41.61","41.98","41.08","88.14K","-0.19%"
"2020年11月18日","41.82","41.35","42.46","41.08","107.01K","0.94%"
"2020年11月17日","41.43","41.44","41.69","40.57","243.68K","0.22%"
"2020年11月16日","41.34","40.17","42.09","40.15","378.79K","3.02%"
"2020年11月13日","40.13","40.94","40.94","40.06","338.19K","-2.41%"
"2020年11月12日","41.12","41.47","42.19","40.87","401.03K","-0.80%"
"2020年11月11日","41.45","41.79","43.06","41.32","443.77K","0.22%"
"2020年11月10日","41.36","39.91","41.84","39.41","457.05K","2.66%"
"2020年11月9日","40.29","37.34","41.33","37.16","622.92K","8.48%"
"2020年11月6日","37.14","38.54","38.61","37.06","411.03K","-4.25%"
"2020年11月5日","38.79","39.17","39.35","38.27","298.37K","-0.92%"
"2020年11月4日","39.15","38.15","39.25","37.26","437.00K","3.96%"
"2020年11月3日","37.66","37.03","38.32","36.57","410.61K","2.31%"
"2020年11月2日","36.81","35.24","37.15","33.64","489.20K","2.85%"
"2020年10月30日","35.79","36.07","36.60","35.21","388.97K","-1.05%"
"2020年10月29日","36.17","37.39","37.76","34.92","568.82K","-3.26%"
"2020年10月28日","37.39","38.97","39.01","36.97","489.95K","-5.51%"
"2020年10月27日","39.57","38.59","39.83","38.51","339.54K","2.62%"
"2020年10月26日","38.56","39.69","39.74","38.28","360.18K","-3.24%"
"2020年10月23日","39.85","40.61","40.92","39.57","268.93K","-1.94%"
"2020年10月22日","40.64","40.04","41.02","39.71","307.49K","1.52%"
"2020年10月21日","40.03","41.22","41.59","39.78","366.90K","-3.45%"
"2020年10月20日","41.46","40.65","41.70","40.25","24.52K","1.54%"
"2020年10月19日","40.83","40.69","41.22","40.54","75.34K","-0.12%"
"2020年10月16日","40.88","40.88","41.05","40.08","96.49K","-0.20%"
"2020年10月15日","40.96","41.13","41.29","39.22","248.25K","-0.19%"
"2020年10月14日","41.04","40.19","41.16","39.82","328.30K","2.09%"
"2020年10月13日","40.20","39.53","40.53","39.35","375.47K","1.95%"
"2020年10月12日","39.43","40.40","40.45","39.04","322.04K","-2.88%"
"2020年10月9日","40.60","41.31","41.47","40.38","331.70K","-1.43%"
"2020年10月8日","41.19","39.99","41.33","39.76","409.79K","3.10%"
"2020年10月7日","39.95","39.83","40.35","39.28","433.07K","-1.77%"
"2020年10月6日","40.67","39.35","40.86","39.10","400.53K","3.70%"
"2020年10月5日","39.22","37.00","39.72","37.00","378.58K","5.86%"
"2020年10月2日","37.05","38.60","38.65","36.63","391.43K","-4.31%"
"2020年10月1日","38.72","39.90","40.47","37.61","443.44K","-3.73%"
"2020年9月30日","40.22","39.16","40.37","38.68","340.29K","2.37%"
"2020年9月29日","39.29","40.58","40.70","38.41","379.60K","-3.23%"
"2020年9月28日","40.60","40.07","40.80","39.78","226.43K","0.87%"
"2020年9月25日","40.25","40.15","40.64","39.71","229.03K","-0.15%"
"2020年9月24日","40.31","39.60","40.37","39.12","269.99K","0.95%"
"2020年9月23日","39.93","39.76","40.75","39.26","318.75K","0.83%"
"2020年9月22日","39.60","39.63","40.02","39.00","23.22K","0.74%"
"2020年9月21日","39.31","40.98","41.27","38.66","66.20K","-4.38%"
"2020年9月18日","41.11","40.97","41.49","40.30","73.76K","0.34%"
"2020年9月17日","40.97","40.19","41.22","39.42","280.67K","2.02%"
"2020年9月16日","40.16","38.35","40.34","38.35","367.61K","4.91%"
"2020年9月15日","38.28","37.28","38.57","37.06","348.86K","2.74%"
"2020年9月14日","37.26","37.32","37.68","36.82","347.56K","-0.19%"
"2020年9月11日","37.33","37.01","37.82","36.67","363.79K","0.08%"
"2020年9月10日","37.30","37.80","38.18","36.93","367.56K","-1.97%"
"2020年9月9日","38.05","36.79","38.45","36.16","455.36K","3.51%"
"2020年9月8日","36.76","39.48","39.59","36.13","720.98K","-6.22%"
"2020年9月7日","39.20","38.77","39.53","38.77","-","1.16%"
"2020年9月6日","38.75","39.47","39.48","38.57","-","-2.56%"
"2020年9月4日","39.77","41.25","41.87","39.35","444.18K","-3.87%"
"2020年9月3日","41.37","41.63","41.79","40.22","417.63K","-0.34%"
"2020年9月2日","41.51","43.02","43.21","41.23","421.77K","-2.92%"
"2020年9月1日","42.76","42.83","43.43","42.72","285.15K","0.35%"
"2020年8月31日","42.61","42.91","43.57","42.56","236.88K","-0.84%"
"2020年8月28日","42.97","42.98","43.42","42.69","272.80K","-0.16%"
"2020年8月27日","43.04","43.45","43.50","42.36","320.97K","-0.81%"
"2020年8月26日","43.39","43.39","43.78","43.00","262.24K","0.09%"
"2020年8月25日","43.35","42.36","43.57","42.31","330.80K","1.71%"
"2020年8月24日","42.62","42.48","42.89","42.23","294.73K","0.66%"
"2020年8月21日","42.34","42.75","42.96","41.46","345.37K","-0.56%"
"2020年8月20日","42.58","42.74","42.79","41.50","27.43K","-0.82%"
"2020年8月19日","42.93","42.60","43.03","42.36","81.30K","0.09%"
"2020年8月18日","42.89","42.79","42.99","42.11","111.63K","0.00%"
"2020年8月17日","42.89","42.24","42.97","41.80","208.43K","2.09%"
"2020年8月14日","42.01","42.33","42.57","41.62","310.87K","-0.54%"
"2020年8月13日","42.24","42.57","42.84","42.09","329.51K","-1.01%"
"2020年8月12日","42.67","41.62","42.90","41.53","397.83K","2.55%"
"2020年8月11日","41.61","41.98","42.94","41.48","432.84K","-0.79%"
"2020年8月10日","41.94","41.50","42.33","41.17","367.80K","1.75%"
"2020年8月7日","41.22","41.97","42.22","41.06","399.00K","-1.74%"
"2020年8月6日","41.95","42.19","42.65","41.61","359.61K","-0.57%"
"2020年8月5日","42.19","41.56","43.52","41.47","491.27K","1.18%"
"2020年8月4日","41.70","40.78","42.08","40.14","451.58K","1.68%"
"2020年8月3日","41.01","40.39","41.24","39.58","338.33K","1.84%"
"2020年7月31日","40.27","40.34","40.55","39.66","318.79K","0.88%"
"2020年7月30日","39.92","41.32","41.39","38.72","487.33K","-3.27%"
"2020年7月29日","41.27","41.13","41.57","40.93","295.86K","0.56%"
"2020年7月28日","41.04","41.65","41.93","40.85","276.80K","-1.35%"
"2020年7月27日","41.60","41.26","41.82","40.48","377.71K","0.75%"
"2020年7月24日","41.29","41.06","41.67","40.66","353.16K","0.54%"
"2020年7月23日","41.07","41.95","42.36","40.83","389.41K","-1.98%"
"2020年7月22日","41.90","41.54","42.03","41.14","333.65K","-0.14%"
"2020年7月21日","41.96","40.65","42.40","40.64","25.62K","2.82%"
"2020年7月20日","40.81","40.64","40.91","39.83","60.18K","0.54%"
"2020年7月17日","40.59","40.72","40.90","40.02","88.22K","-0.39%"
"2020年7月16日","40.75","40.97","41.18","40.52","200.10K","-1.09%"
"2020年7月15日","41.20","40.55","41.26","40.08","352.54K","2.26%"
"2020年7月14日","40.29","39.60","40.57","39.07","426.97K","0.47%"
"2020年7月13日","40.10","40.35","40.72","39.47","370.72K","-1.11%"
"2020年7月10日","40.55","39.58","40.77","38.54","393.15K","2.35%"
"2020年7月9日","39.62","40.87","40.99","39.27","367.39K","-3.13%"
"2020年7月8日","40.90","40.48","41.08","40.30","286.74K","0.69%"
"2020年7月7日","40.62","40.68","40.95","39.90","256.60K","-0.02%"
"2020年7月6日","40.63","40.31","41.08","39.84","373.24K","0.87%"
"2020年7月3日","40.28","40.23","40.50","39.86","-","-0.91%"
"2020年7月2日","40.65","39.78","40.74","39.46","347.10K","2.08%"
"2020年7月1日","39.82","39.84","40.58","39.05","407.17K","1.40%"
"2020年6月30日","39.27","39.64","40.08","38.85","370.06K","-1.08%"
"2020年6月29日","39.70","37.96","39.89","37.50","343.91K","3.14%"
"2020年6月26日","38.49","39.09","39.35","37.79","356.71K","-0.59%"
"2020年6月25日","38.72","38.05","39.23","37.08","451.64K","1.87%"
"2020年6月24日","38.01","39.99","40.54","37.31","499.49K","-5.85%"
"2020年6月23日","40.37","40.68","41.63","39.76","368.73K","-0.22%"
"2020年6月22日","40.46","39.18","40.70","39.12","29.89K","1.79%"
"2020年6月19日","39.75","38.85","40.49","38.40","64.11K","2.34%"
"2020年6月18日","38.84","37.74","38.97","37.11","113.38K","2.32%"
"2020年6月17日","37.96","37.93","38.75","37.21","239.52K","-1.09%"
"2020年6月16日","38.38","37.05","39.06","36.38","366.32K","3.39%"
"2020年6月15日","37.12","36.03","37.26","34.36","387.55K","2.37%"
"2020年6月12日","36.26","36.26","36.99","34.48","406.51K","-0.22%"
"2020年6月11日","36.34","39.09","39.09","35.41","513.91K","-8.23%"
"2020年6月10日","39.60","38.50","39.91","37.73","385.87K","1.69%"
"2020年6月9日","38.94","38.22","39.10","37.07","396.03K","1.96%"
"2020年6月8日","38.19","39.41","40.44","37.96","416.64K","-3.44%"
"2020年6月5日","39.55","37.33","39.68","37.05","396.86K","5.72%"
"2020年6月4日","37.41","36.76","37.62","36.38","307.61K","0.32%"
"2020年6月3日","37.29","36.86","38.18","35.88","494.25K","1.30%"
"2020年6月2日","36.81","35.56","37.06","35.28","343.48K","3.87%"
"2020年6月1日","35.44","35.21","35.90","34.27","385.71K","-0.14%"
"2020年5月29日","35.49","33.68","35.77","32.36","443.65K","5.28%"
"2020年5月28日","33.71","32.10","34.21","31.14","440.17K","2.74%"
"2020年5月27日","32.81","34.14","34.32","31.75","415.25K","-4.48%"
"2020年5月26日","34.35","33.30","34.81","32.48","466.74K","1.27%"
"2020年5月25日","33.92","32.92","34.18","32.72","-","3.10%"
"2020年5月24日","32.90","33.38","33.42","32.50","-","-1.05%"
"2020年5月22日","33.25","33.95","34.00","30.72","429.04K","-1.98%"
"2020年5月21日","33.92","33.53","34.66","33.26","372.81K","1.28%"
"2020年5月20日","33.49","31.89","33.78","31.56","406.43K","3.05%"
"2020年5月19日","32.50","32.83","33.44","31.34","36.07K","2.14%"
"2020年5月18日","31.82","29.53","33.32","29.53","89.38K","8.12%"
"2020年5月15日","29.43","27.64","29.92","27.24","108.02K","6.79%"
"2020年5月14日","27.56","25.56","27.96","25.18","160.51K","8.98%"
"2020年5月13日","25.29","25.30","26.45","24.79","150.86K","-1.90%"
"2020年5月12日","25.78","24.49","26.23","24.22","212.34K","6.79%"
"2020年5月11日","24.14","24.49","25.58","23.67","179.59K","-2.43%"
"2020年5月8日","24.74","23.35","24.99","23.26","205.18K","5.05%"
"2020年5月7日","23.55","24.09","26.74","22.94","310.26K","-1.83%"
"2020年5月6日","23.99","25.52","26.08","22.58","381.17K","-2.32%"
"2020年5月5日","24.56","21.24","25.49","21.13","387.24K","20.45%"
"2020年5月4日","20.39","19.11","21.42","18.05","311.49K","3.08%"
"2020年5月1日","19.78","19.04","20.48","18.07","403.20K","4.99%"
"2020年4月30日","18.84","15.64","19.44","15.45","545.34K","25.10%"
"2020年4月29日","15.06","13.35","16.78","12.67","554.13K","22.04%"
"2020年4月28日","12.34","12.96","13.69","10.07","897.09K","-3.44%"
"2020年4月27日","12.78","16.84","16.98","11.88","623.20K","-24.56%"
"2020年4月24日","16.94","16.78","17.97","15.64","600.22K","2.67%"
"2020年4月23日","16.50","14.20","18.26","13.35","833.58K","19.74%"
"2020年4月22日","13.78","13.12","16.18","10.26","1.24M","37.66%"
"2020年4月21日","10.01","-14.00","13.86","-16.74","18.44K","-126.60%"
"2020年4月20日","-37.63","17.73","17.85","-40.32","247.95K","-305.97%"
"2020年4月17日","18.27","20.00","20.22","17.31","240.63K","-8.05%"
"2020年4月16日","19.87","20.15","20.53","19.42","350.94K","0.00%"
"2020年4月15日","19.87","20.72","20.89","19.20","544.80K","-1.19%"
"2020年4月14日","20.11","22.36","23.08","19.95","785.48K","-10.26%"
"2020年4月13日","22.41","24.60","24.74","22.03","775.12K","-1.54%"
"2020年4月9日","22.76","26.28","28.36","22.57","1.12M","-9.29%"
"2020年4月8日","25.09","24.30","26.45","23.74","823.55K","6.18%"
"2020年4月7日","23.63","26.34","27.24","23.54","797.71K","-9.39%"
"2020年4月6日","26.08","26.09","28.24","25.28","752.71K","-7.97%"
"2020年4月3日","28.34","24.81","29.13","23.52","1.01M","11.93%"
"2020年4月2日","25.32","21.22","27.39","20.76","1.10M","24.67%"
"2020年4月1日","20.31","20.10","21.55","19.90","703.29K","-0.83%"
"2020年3月31日","20.48","20.23","21.89","20.01","660.08K","1.94%"
"2020年3月30日","20.09","20.93","20.93","19.27","758.71K","-6.60%"
"2020年3月27日","21.51","23.29","23.44","20.88","603.12K","-4.82%"
"2020年3月26日","22.60","24.25","24.65","22.38","633.88K","-7.72%"
"2020年3月25日","24.49","24.37","25.24","22.91","618.73K","2.00%"
"2020年3月24日","24.01","23.87","25.16","23.09","659.70K","2.78%"
"2020年3月23日","23.36","22.52","24.07","20.80","852.95K","4.15%"
"2020年3月20日","22.43","24.73","27.89","19.46","29.76K","-11.06%"
"2020年3月19日","25.22","22.30","27.71","21.36","136.72K","23.81%"
"2020年3月18日","20.37","26.94","27.22","20.06","309.48K","-24.42%"
"2020年3月17日","26.95","28.69","30.30","26.63","545.82K","-6.10%"
"2020年3月16日","28.70","33.75","33.75","28.10","698.83K","-9.55%"
"2020年3月13日","31.73","30.77","33.87","30.33","743.13K","0.73%"
"2020年3月12日","31.50","33.07","33.63","30.02","1.03M","-4.49%"
"2020年3月11日","32.98","34.62","36.35","32.56","874.65K","-4.02%"
"2020年3月10日","34.36","30.37","35.02","30.20","1.06M","10.38%"
"2020年3月9日","31.13","32.87","34.88","27.34","1.77M","-24.59%"
"2020年3月6日","41.28","46.09","46.38","41.05","1.28M","-10.07%"
"2020年3月5日","45.90","47.13","47.57","45.65","704.59K","-1.88%"
"2020年3月4日","46.78","46.94","48.41","46.65","745.86K","-0.85%"
