"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年1月8日","27.078","27.300","27.335","27.038","-","-0.67%"
"2021年1月7日","27.261","27.410","27.495","27.020","-","0.81%"
"2021年1月6日","27.042","27.720","28.105","26.700","129.36K","-2.16%"
"2021年1月5日","27.640","27.355","27.850","27.150","67.46K","1.01%"
"2021年1月4日","27.364","26.770","27.760","26.730","113.76K","1.32%"
"2021年1月3日","27.008","26.560","27.085","26.552","-","1.82%"
"2021年1月1日","26.525","26.525","26.525","26.525","-","0.43%"
"2020年12月31日","26.412","26.835","26.880","26.345","39.62K","-0.61%"
"2020年12月30日","26.573","26.325","26.835","26.260","47.68K","1.36%"
"2020年12月29日","26.217","26.450","26.770","26.075","64.31K","-1.21%"
"2020年12月28日","26.539","26.130","26.980","26.000","81.41K","0.93%"
"2020年12月27日","26.295","25.910","26.305","25.910","-","1.49%"
"2020年12月24日","25.908","25.740","26.080","25.535","35.14K","-0.05%"
"2020年12月23日","25.921","25.315","25.960","25.185","65.50K","1.51%"
"2020年12月22日","25.535","26.420","26.815","25.225","108.02K","-3.20%"
"2020年12月21日","26.379","26.110","27.635","25.120","133.74K","1.40%"
"2020年12月20日","26.015","26.075","26.075","26.005","-","-0.07%"
"2020年12月18日","26.033","26.255","26.350","25.865","70.35K","-0.57%"
"2020年12月17日","26.181","25.500","26.305","25.335","97.95K","4.51%"
"2020年12月16日","25.052","24.645","25.640","24.575","97.98K","1.66%"
"2020年12月15日","24.644","23.965","24.700","23.940","62.40K","2.48%"
"2020年12月14日","24.047","24.140","24.365","23.755","55.68K","-0.11%"
"2020年12月13日","24.073","24.062","24.165","24.038","-","-0.08%"
"2020年12月11日","24.092","24.135","24.245","23.690","50.25K","-0.01%"
"2020年12月10日","24.094","24.055","24.430","23.825","58.69K","0.43%"
"2020年12月9日","23.990","24.735","24.755","23.695","84.50K","-3.02%"
"2020年12月8日","24.736","24.655","25.015","24.550","58.83K","-0.23%"
"2020年12月7日","24.794","24.310","24.940","23.630","83.05K","2.22%"
"2020年12月6日","24.255","24.285","24.365","24.215","-","0.01%"
"2020年12月4日","24.253","24.195","24.585","24.065","68.53K","0.48%"
"2020年12月3日","24.137","24.220","24.420","23.850","73.44K","0.24%"
"2020年12月2日","24.080","24.130","24.455","23.680","76.79K","-0.04%"
"2020年12月1日","24.090","22.700","24.180","22.665","89.39K","6.63%"
"2020年11月30日","22.593","22.780","22.830","21.960","95.29K","-0.62%"
"2020年11月29日","22.735","22.780","22.785","22.727","-","0.42%"
"2020年11月27日","22.639","23.485","23.575","22.400","94.53K","-2.48%"
"2020年11月26日","23.215","23.395","23.505","23.190","-","-0.99%"
"2020年11月25日","23.446","23.390","23.640","23.210","31.88K","0.15%"
"2020年11月24日","23.410","23.735","23.765","23.050","44.02K","-0.94%"
"2020年11月23日","23.633","24.225","24.455","23.460","106.43K","-2.58%"
"2020年11月22日","24.260","24.207","24.262","24.148","-","-0.42%"
"2020年11月20日","24.363","24.115","24.600","23.955","76.35K","1.31%"
"2020年11月19日","24.048","24.380","24.425","23.670","94.81K","-1.64%"
"2020年11月18日","24.448","24.565","24.780","24.235","82.57K","-0.82%"
"2020年11月17日","24.651","24.880","24.900","24.435","57.85K","-0.61%"
"2020年11月16日","24.802","24.800","25.155","24.255","81.63K","0.11%"
"2020年11月15日","24.775","24.738","24.830","24.725","-","0.00%"
"2020年11月13日","24.775","24.365","24.900","24.215","60.87K","1.93%"
"2020年11月12日","24.306","24.360","24.475","24.090","62.74K","0.16%"
"2020年11月11日","24.267","24.305","24.510","23.810","76.99K","-0.80%"
"2020年11月10日","24.462","24.180","24.580","23.950","87.44K","3.21%"
"2020年11月9日","23.701","25.860","26.135","23.600","168.83K","-9.03%"
"2020年11月8日","26.055","25.710","26.130","25.710","-","1.53%"
"2020年11月6日","25.662","25.450","25.975","25.010","114.86K","1.87%"
"2020年11月5日","25.191","23.980","25.540","23.955","107.65K","5.43%"
"2020年11月4日","23.893","24.290","24.620","23.260","101.89K","-1.81%"
"2020年11月3日","24.334","24.170","24.485","23.975","60.02K","1.25%"
"2020年11月2日","24.033","23.635","24.260","23.460","74.90K","2.23%"
"2020年11月1日","23.508","23.695","23.715","23.462","-","-0.58%"
"2020年10月30日","23.646","23.350","23.910","23.230","80.57K","1.22%"
"2020年10月29日","23.360","23.440","23.650","22.625","102.57K","0.00%"
"2020年10月28日","23.359","24.495","24.675","23.060","131.77K","-4.93%"
"2020年10月27日","24.570","24.385","24.760","24.265","52.48K","0.61%"
"2020年10月26日","24.420","24.750","24.765","24.145","68.93K","-0.43%"
"2020年10月25日","24.525","24.672","24.740","24.247","-","-0.61%"
"2020年10月23日","24.675","24.835","24.980","24.500","52.73K","-0.14%"
"2020年10月22日","24.709","25.180","25.225","24.460","74.44K","-2.11%"
"2020年10月21日","25.241","24.795","25.425","24.775","77.69K","1.04%"
"2020年10月20日","24.980","24.485","25.060","24.405","57.37K","1.14%"
"2020年10月19日","24.698","24.290","25.120","24.215","63.70K","1.52%"
"2020年10月18日","24.328","24.315","24.365","24.262","-","-0.32%"
"2020年10月16日","24.405","24.430","24.660","24.185","50.59K","0.75%"
"2020年10月15日","24.224","24.370","24.440","23.650","72.42K","-0.70%"
"2020年10月14日","24.395","24.240","24.725","23.930","63.47K","1.10%"
"2020年10月13日","24.129","25.240","25.310","24.015","94.21K","-4.52%"
